,name,country,id,hem,temp,lat,lon,humidity,clouds,max_temp,wind,ideal
115,Ulaanbaatar,MN,2028462,North,35.6,47.91,106.88,74,75,35.6,20.13,False
116,Opuwo,NA,3354077,South,57.34,-18.06,13.84,48,0,57.34,7.65,False
117,Mezhdurechenskiy,RU,1498919,North,74.75,59.6,65.93,32,0,74.75,10.04,False
118,Husavik,IS,2629833,North,30.2,66.04,-17.34,68,20,30.2,11.41,False
119,Puerto del Rosario,ES,2512186,North,66.2,28.5,-13.86,72,0,66.2,9.17,False
120,Thompson,CA,6165406,North,26.6,55.74,-97.86,73,20,26.6,9.17,False
121,Lebu,CL,3883457,South,56.16,-37.62,-73.65,92,28,56.16,9.51,False
122,Geraldton,AU,2070998,South,73.4,-28.77,114.6,33,93,73.4,12.75,False
123,Mānsa,IN,1263622,North,101.95,29.98,75.38,14,0,101.95,8.19,False
124,Anori,BR,3665315,South,74.34,-3.77,-61.64,97,100,74.34,1.77,False
125,Saint Paul Harbor,US,5866583,North,44.6,57.79,-152.41,87,90,44.6,21.92,False
126,Prince Rupert,CA,6113406,North,56.1,54.32,-130.32,63,100,56.1,1.21,False
127,Valle de Allende,MX,3980627,North,60.58,26.93,-105.4,79,100,60.58,11.39,False
128,Bendigo,AU,2176187,South,51.01,-36.77,144.28,79,81,51.01,7.0,False
129,Agadez,NE,2448083,North,73.89,19.75,10.25,15,0,73.89,6.76,True
130,Dingle,PH,1714733,North,95.49,11.0,122.67,39,96,95.49,9.35,False
131,Bambous Virieux,MU,1106677,South,76.06,-20.34,57.76,88,20,79.0,3.36,False
132,Kuching,MY,1735634,North,89.31,1.55,110.33,70,40,89.6,2.24,False
133,Bowen,AU,2174444,South,80.85,-20.02,148.23,54,90,81.0,13.87,False
134,Norman Wells,CA,6089245,North,37.4,65.28,-126.83,64,5,37.4,10.29,False
135,Qaanaaq,GL,3831208,North,5.11,77.48,-69.36,76,0,5.11,5.1,False
136,Visnes,NO,3131500,North,39.94,59.36,5.22,86,30,41.0,4.7,False
137,Azare,NG,2348595,North,78.91,11.68,10.19,53,21,78.91,3.56,False
138,Kindu,CD,212902,South,71.85,-2.95,25.95,96,51,71.85,0.65,False
139,Krasnyy Yar,RU,541349,North,60.4,46.53,48.35,51,24,60.8,17.9,False
140,Cartagena,CO,3687238,North,80.96,10.4,-75.51,87,85,80.96,12.35,False
141,Huilong,CN,1806840,North,80.01,31.81,121.66,67,33,80.01,12.24,False
142,Leshukonskoye,RU,535839,North,43.14,64.9,45.76,74,71,43.14,3.58,False
143,Adré,TD,245669,North,75.13,13.47,22.2,17,0,75.13,10.8,False
144,Aksu,CN,1529660,North,73.69,41.12,80.26,23,52,73.69,6.53,False
145,Yulara,AU,6355222,South,69.8,-25.24,130.99,28,0,69.8,12.75,False
146,Oktyabr'skiy,RU,515879,North,69.73,54.48,53.47,41,0,69.73,6.89,False
147,Beausejour,CA,5896549,North,32.54,50.06,-96.52,50,91,34.0,6.2,False
148,Adrar,MR,2381972,North,82.35,20.5,-10.07,16,2,82.35,11.36,False
149,Ayotzintepec,MX,3532510,North,77.18,17.67,-96.13,68,51,77.18,3.18,False
150,Fortuna,US,5563839,North,52.16,40.6,-124.16,100,1,53.01,3.4,False
151,Sinnamary,GF,3380290,North,77.58,5.38,-52.95,83,77,77.58,10.0,False
152,Mugumu,TZ,152663,South,61.25,-1.85,34.7,95,54,61.25,3.02,False
153,Kahului,US,5847411,North,69.89,20.89,-156.47,69,20,75.2,13.87,False
154,Okha,RU,2122614,North,36.23,53.57,142.95,81,100,36.23,5.55,False
155,Bethel,US,5282297,North,34.7,41.37,-73.41,94,90,36.0,8.05,False
156,Clyde River,CA,5924351,North,12.2,70.47,-68.59,85,90,12.2,14.99,False
157,Barrow,US,5880054,North,19.4,71.29,-156.79,92,90,19.4,12.75,False
158,Tervel Municipality,BG,726474,North,54.55,43.75,27.4,51,1,55.99,5.01,False
159,Westport,US,4845585,North,37.45,41.14,-73.36,94,100,39.0,19.28,False
160,Morón,AR,3430545,South,54.95,-34.65,-58.62,100,64,57.99,11.14,False
161,Faanui,PF,4034551,South,82.27,-16.48,-151.75,79,73,82.27,14.05,False
162,Nālūt,LY,2214432,North,72.72,30.33,10.85,29,35,72.72,15.19,False
163,Saint-François,FR,2980080,North,51.4,46.42,3.91,93,41,53.01,4.7,False
164,San Fernando del Valle de Catamarca,AR,3837702,South,55.04,-28.47,-65.79,80,0,57.99,8.39,False
165,Nome,US,5870133,North,49.66,64.5,-165.41,53,40,51.8,13.87,False
166,Taoudenni,ML,2450173,North,88.63,22.68,-3.98,23,68,88.63,2.46,False
167,Winneba,GH,2294034,North,80.6,5.35,-0.62,94,20,80.6,8.05,False
168,Turbat,PK,1163054,North,92.97,26.0,63.04,28,0,92.97,3.22,False
169,Yeppoon,AU,2142316,South,82.4,-23.13,150.73,42,43,82.4,6.93,False
170,Port Elizabeth,ZA,964420,South,55.4,-33.92,25.57,93,20,55.4,2.24,False
171,Sangar,RU,2017215,North,31.91,63.92,127.47,98,100,31.91,11.32,False
172,Beringovskiy,RU,2126710,North,32.65,63.05,179.32,96,100,32.65,7.45,False
173,Iracoubo,GF,3381428,North,77.65,5.48,-53.2,82,44,77.65,9.71,False
174,Misratah,LY,2214846,North,63.55,32.38,15.09,80,49,63.55,14.18,False
175,Luleå,SE,604490,North,33.8,65.58,22.15,82,90,33.8,5.82,False
176,Palu,ID,1633034,South,87.1,-0.89,119.87,72,93,87.1,3.27,False
177,São Sebastião,BR,3448257,South,64.11,-23.76,-45.41,77,23,64.11,4.34,False
178,Hūn,LY,2216645,North,61.72,29.13,15.95,51,54,61.72,11.41,False
179,Bredasdorp,ZA,1015776,South,59.0,-34.53,20.04,93,86,59.0,3.36,False
180,Saint-Philippe,RE,935215,South,74.52,-21.36,55.77,53,40,75.2,9.17,False
181,Atar,MR,2381334,North,79.11,20.52,-13.05,17,95,79.11,10.33,False
182,Vao,NC,2137773,South,73.29,-22.67,167.48,76,0,73.29,17.38,False
183,Kankakee,US,4898188,North,31.51,41.15,-87.87,81,1,33.01,3.36,False
184,Namatanai,PG,2090021,South,86.18,-3.67,152.43,67,4,86.18,6.73,False
185,Praia,CV,3374333,North,71.6,14.92,-23.51,68,20,71.6,14.99,False
186,Batagay-Alyta,RU,2027042,North,23.02,67.8,130.41,91,92,23.02,3.4,False
187,Taveta,KE,179525,South,68.0,-3.4,37.67,94,75,68.0,5.82,False
188,Ilulissat,GL,3423146,North,26.6,69.22,-51.1,79,100,26.6,3.36,False
189,Kisangani,CD,212730,North,71.31,0.52,25.2,98,98,71.31,1.39,False
