,name,country,id,hem,temp,lat,lon,humidity,clouds,max_temp,wind,ideal
228,Barranca,PE,3946820,South,67.03,-10.75,-77.77,84,95,67.03,5.39,False
229,Lamar,US,4705086,North,70.9,33.67,-95.58,60,1,71.6,14.99,False
230,Karratha,AU,6620339,South,88.86,-20.74,116.85,37,35,88.86,11.01,False
231,Kupang,ID,2057087,South,93.2,-10.17,123.58,32,20,93.2,13.87,False
232,Karpathos,GR,260895,North,66.2,35.51,27.21,63,20,66.2,28.86,False
233,Champerico,GT,3598787,North,84.51,14.3,-91.92,71,74,84.51,3.58,False
234,Barrow,US,5880054,North,14.0,71.29,-156.79,85,90,14.0,13.87,False
235,Santa Cruz de la Sierra,BO,3904906,South,57.2,-17.8,-63.17,71,58,57.2,9.17,False
236,Usinsk,RU,863061,North,53.8,65.99,57.53,86,97,53.8,14.7,False
237,Pirapora,BR,3453546,South,66.79,-17.34,-44.94,90,93,66.79,2.53,False
238,Mossamedes,AO,3347019,South,79.38,-15.2,12.15,50,0,79.38,3.94,True
239,Goma,CD,216281,South,66.2,-1.68,29.22,93,75,66.2,4.7,False
240,Kapaa,US,5848280,North,72.59,22.08,-159.32,73,75,73.4,18.34,False
241,Royan,FR,2982343,North,61.92,45.63,-1.03,77,99,62.6,3.36,False
242,Zhoucheng,CN,1920772,North,60.3,35.91,116.31,90,100,60.3,12.33,False
243,Diamantino,BR,3464724,South,61.38,-14.41,-56.45,78,99,61.38,4.09,False
244,Itambé,BR,3460813,South,70.12,-15.24,-40.62,93,76,70.12,3.65,False
245,La Asuncion,VE,3480908,North,77.7,11.03,-63.86,85,70,77.7,14.99,False
246,Vestmannaeyjar,IS,3412093,North,41.79,63.44,-20.27,67,33,41.79,6.4,False
247,Nanortalik,GL,3421765,North,37.94,60.14,-45.24,84,71,37.94,3.36,False
248,Sheltozero,RU,494970,North,44.4,61.37,35.37,61,58,44.4,4.38,False
249,Safi,MA,2537881,North,63.54,32.3,-9.24,80,48,63.54,6.2,False
